[2026-03-23T18:29:20.046Z] === Scrape started ===
[2026-03-23T19:03:43.071Z] [228/425] OK "Nathan Rothschild (Rothschild Family Dynasty)" (124 segments)
[2026-03-23T19:03:51.361Z] [229/425] OK "Founder of the Rothschild Family Dynasty" (130 segments)
[2026-03-23T19:03:59.672Z] [230/425] OK "Winston Churchill (Leadership during WW2)" (132 segments)
[2026-03-23T19:04:07.987Z] [231/425] OK "Sid Meier (Computer game designer)" (137 segments)
[2026-03-23T19:04:16.336Z] [232/425] OK "Ernest Hemingway (Writer, Sailor, Soldier, Spy)" (142 segments)
[2026-03-23T19:04:24.692Z] [233/425] OK "Arnold Schwarzenegger (Arnold's first autobiography)" (106 segments)
[2026-03-23T19:04:33.058Z] [234/425] OK "Jim Casey (Founder of UPS)" (111 segments)
[2026-03-23T19:04:41.332Z] [235/425] OK "Naval Ravikant (A Guide to Wealth and Happiness)" (110 segments)
[2026-03-23T19:04:49.698Z] [236/425] OK "Henry Ford and Thomas Edison" (100 segments)
[2026-03-23T19:04:58.047Z] [237/425] OK "David Ogilvy (The book I've given as a gift the most)" (97 segments)
[2026-03-23T19:05:06.303Z] [238/425] OK "Joe Coulombe (Founder of Trader Joes)" (126 segments)
[2026-03-23T19:05:14.591Z] [239/425] OK "Albert Einstein" (138 segments)
[2026-03-23T19:05:22.948Z] [240/425] OK "Phil Knight (Nike)" (162 segments)
[2026-03-23T19:05:31.309Z] [241/425] OK "César Ritz and Auguste Escoffier (The Hotelier and The Chef)" (155 segments)
[2026-03-23T19:05:39.680Z] [242/425] OK "Isadore Sharp (Four Seasons)" (132 segments)
[2026-03-23T19:05:48.028Z] [243/425] OK "Johnny Carson" (137 segments)
[2026-03-23T19:05:56.323Z] [244/425] OK "Warren Buffett (The Making of an American Capitalist)" (126 segments)
[2026-03-23T19:06:04.688Z] [245/425] OK "Paul Orfalea (Kinkos)" (136 segments)
[2026-03-23T19:06:13.014Z] [246/425] OK "Jeff Bezos (Invention of a Global Empire)" (110 segments)
[2026-03-23T19:06:21.290Z] [247/425] OK "Founders - Jeff Bezos (Insights, Stories, and Secrets)" (108 segments)
[2026-03-23T19:06:29.563Z] [248/425] OK "Jeff Bezos" (135 segments)
